# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-08-12
#
# GRDC-No.:              3265300
# River:                 RIO PARANA
# Station:               CORRIENTES
# Country:               AR
# Latitude (DD):       -27.97
# Longitude (DD):      -58.85
# Latitude (MODEL):    -27.96875
# Longitude (MODEL):   -58.84375
# Catchment area (km²):      1950000.0
# Altitude (m ASL):        60.0
# Next downstream station:      3265601
# Remarks:               
# Owner of original data: Argentina - Subsecretaría de Recursos Hídricos
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1904-01 - 2021-08
# No. of years:          118
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01; 17518.227
2001-02; 22343.728
2001-03; 21461.817
2001-04; 17837.591
2001-05; 16199.666
2001-06; 14463.947
2001-07; 13408.402
2001-08; 11954.313
2001-09; 11247.804
2001-10; 15302.379
2001-11; 12982.108
2001-12; 14320.922
2002-01; 13892.164
2002-02; 21172.905
2002-03; 19878.693
2002-04; 18105.590
2002-05; 19483.385
2002-06; 18684.668
2002-07; 15308.298
2002-08; 15466.128
2002-09; 15084.093
2002-10; 16891.990
2002-11; 16806.452
2002-12; 20717.851
2003-01; 16393.602
2003-02; 20280.208
2003-03; 21737.610
2003-04; 17406.924
2003-05; 15126.793
2003-06; 14728.526
2003-07; 13849.035
2003-08; 13593.906
2003-09; 14056.998
2003-10; 15388.368
2003-11; 15235.755
2003-12; 19638.060
2004-01; 18497.936
2004-02; 14410.533
2004-03; 13964.735
2004-04; 14218.109
2004-05; 16133.015
2004-06; 18475.662
2004-07; 18094.194
2004-08; 16334.549
2004-09; 13809.425
2004-10; 15119.658
2004-11; 22629.197
2004-12; 20580.455
2005-01; 19402.452
2005-02; 22820.967
2005-03; 14763.009
2005-04; 16210.154
2005-05; 15631.319
2005-06; 17540.508
2005-07; 15665.570
2005-08; 13190.027
2005-09; 14366.682
2005-10; 19710.956
2005-11; 19794.937
2005-12; 17344.245
2006-01; 17095.308
2006-02; 15418.211
2006-03; 18760.504
2006-04; 18743.033
2006-05; 14789.110
2006-06; 14878.595
2006-07; 14326.404
2006-08; 14063.125
2006-09; 14364.787
2006-10; 16845.816
2006-11; 17248.596
2006-12; 16939.384
2007-01; 22760.043
2007-02; 28494.175
2007-03; 25092.194
2007-04; 19428.808
2007-05; 22570.461
2007-06; 18930.300
2007-07; 16077.473
2007-08; 15033.282
2007-09; 14441.257
2007-10; 13894.484
2007-11; 16632.876
2007-12; 15964.258
2008-01; 16385.564
2008-02; 16187.388
2008-03; 17347.098
2008-04; 19254.198
2008-05; 17837.640
2008-06; 16398.300
2008-07; 15725.185
2008-08; 17914.931
2008-09; 15042.374
2008-10; 16635.648
2008-11; 19804.778
2008-12; 14088.389
2009-01; 13676.113
2009-02; 15111.621
2009-03; 15505.258
2009-04; 14441.222
2009-05; 12695.922
2009-06; 14346.962
2009-07; 17140.276
2009-08; 18255.724
2009-09; 19216.409
2009-10; 23656.875
2009-11; 24330.226
2009-12; 26916.795
2010-01; 30178.782
2010-02; 29283.510
2010-03; 23505.702
2010-04; 24826.970
2010-05; 23488.430
2010-06; 18855.999
2010-07; 17309.402
2010-08; 16264.501
2010-09; 14786.171
2010-10; 16573.090
2010-11; 15462.566
2010-12; 19228.949
