# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-08-12
#
# GRDC-No.:              3265601
# River:                 RIO PARANA
# Station:               TIMBUES
# Country:               AR
# Latitude (DD):       -32.67
# Longitude (DD):      -60.71
# Latitude (MODEL):    -32.65625
# Longitude (MODEL):   -60.71875
# Catchment area (km²):      2346000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1905-01 - 2021-08
# No. of years:          117
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01; 16074.587
2001-02; 18827.086
2001-03; 20579.445
2001-04; 19377.082
2001-05; 17417.075
2001-06; 15393.066
2001-07; 13388.976
2001-08; 12428.415
2001-09; 11965.279
2001-10; 15705.105
2001-11; 14946.609
2001-12; 14817.595
2002-01; 13013.128
2002-02; 16716.164
2002-03; 19082.537
2002-04; 20178.181
2002-05; 20607.739
2002-06; 20526.941
2002-07; 18416.321
2002-08; 15976.449
2002-09; 15200.390
2002-10; 17280.087
2002-11; 17659.813
2002-12; 20470.045
2003-01; 21006.333
2003-02; 19331.986
2003-03; 21458.805
2003-04; 21881.687
2003-05; 21732.615
2003-06; 17078.827
2003-07; 14733.523
2003-08; 14343.189
2003-09; 13974.633
2003-10; 14721.027
2003-11; 14933.694
2003-12; 15924.504
2004-01; 18935.214
2004-02; 15732.249
2004-03; 13802.820
2004-04; 14276.075
2004-05; 15364.105
2004-06; 16725.208
2004-07; 16164.362
2004-08; 16721.027
2004-09; 14064.997
2004-10; 13614.521
2004-11; 17781.748
2004-12; 19730.833
2005-01; 18159.447
2005-02; 19848.190
2005-03; 18351.853
2005-04; 16537.322
2005-05; 15938.951
2005-06; 17030.811
2005-07; 17070.239
2005-08; 14058.334
2005-09; 13798.891
2005-10; 16248.880
2005-11; 18514.736
2005-12; 16368.592
2006-01; 16310.345
2006-02; 15302.019
2006-03; 16072.573
2006-04; 17465.909
2006-05; 15908.942
2006-06; 15079.516
2006-07; 14106.574
2006-08; 13745.638
2006-09; 13497.351
2006-10; 15415.990
2006-11; 15968.018
2006-12; 16767.171
2007-01; 18353.361
2007-02; 20539.446
2007-03; 23344.375
2007-04; 22762.652
2007-05; 20664.700
2007-06; 20300.462
2007-07; 16794.714
2007-08; 15227.743
2007-09; 14289.813
2007-10; 14485.785
2007-11; 15702.896
2007-12; 16175.959
2008-01; 15387.981
2008-02; 15627.745
2008-03; 16448.099
2008-04; 16922.803
2008-05; 17992.820
2008-06; 15717.439
2008-07; 15530.046
2008-08; 15902.704
2008-09; 15534.568
2008-10; 15283.686
2008-11; 18087.808
2008-12; 15303.094
2009-01; 12578.633
2009-02; 14075.203
2009-03; 15364.533
2009-04; 14029.029
2009-05; 12268.339
2009-06; 13489.609
2009-07; 14971.151
2009-08; 16929.730
2009-09; 16761.199
2009-10; 18269.203
2009-11; 20348.360
2009-12; 22527.038
2010-01; 23665.068
2010-02; 24733.195
2010-03; 23680.380
2010-04; 21927.866
2010-05; 21458.994
2010-06; 20405.822
2010-07; 17107.994
2010-08; 16764.772
2010-09; 15145.335
2010-10; 15314.584
2010-11; 15175.742
2010-12; 15884.608
