# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-04-25
#
# GRDC-No.:              3268500
# River:                 RIO PILCOMAYO
# Station:               LA PAZ
# Country:               AR
# Latitude (DD):       -22.45
# Longitude (DD):      -62.37
# Latitude (MODEL):    -22.46875
# Longitude (MODEL):   -62.34375
# Catchment area (km²):      96000.0
# Altitude (m ASL):        230.0
# Next downstream station:      3265300
# Remarks:               
# Owner of original data: Argentina - Subsecretaría de Recursos Hídricos
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1941-12 - 2021-08
# No. of years:          81
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01;  754.787
2001-02; 1206.247
2001-03;  779.072
2001-04;  266.882
2001-05;  114.648
2001-06;   74.285
2001-07;   56.744
2001-08;   39.096
2001-09;   31.667
2001-10;   47.905
2001-11;   83.126
2001-12;  135.069
2002-01;  182.246
2002-02;  642.999
2002-03;  361.188
2002-04;  209.642
2002-05;   83.823
2002-06;   45.381
2002-07;   36.768
2002-08;   19.616
2002-09;   10.180
2002-10;   83.072
2002-11;   92.797
2002-12;  143.431
2003-01;  617.548
2003-02;  318.786
2003-03;  696.364
2003-04;  198.077
2003-05;   67.633
2003-06;   40.150
2003-07;   28.045
2003-08;   23.324
2003-09;    9.303
2003-10;   15.369
2003-11;   15.105
2003-12;  241.603
2004-01;  819.800
2004-02;  598.561
2004-03;  383.065
2004-04;  326.254
2004-05;  117.600
2004-06;   69.025
2004-07;   37.112
2004-08;   30.904
2004-09;   12.381
2004-10;   14.599
2004-11;   44.010
2004-12;  221.165
2005-01;  352.504
2005-02;  846.427
2005-03;  319.875
2005-04;  323.923
2005-05;   87.058
2005-06;   49.624
2005-07;   29.915
2005-08;   18.124
2005-09;   18.224
2005-10;   32.923
2005-11;   44.659
2005-12;  168.980
2006-01; 1082.297
2006-02;  976.653
2006-03;  608.146
2006-04;  599.770
2006-05;  140.891
2006-06;   74.545
2006-07;   45.594
2006-08;   28.797
2006-09;   15.574
2006-10;   38.703
2006-11;  116.978
2006-12;  268.158
2007-01;  911.360
2007-02;  532.751
2007-03;  658.837
2007-04;  312.099
2007-05;  100.056
2007-06;   67.634
2007-07;   39.272
2007-08;   24.175
2007-09;   23.818
2007-10;   30.843
2007-11;   77.533
2007-12;  292.623
2008-01; 1032.659
2008-02;  808.514
2008-03;  948.001
2008-04;  303.773
2008-05;   89.098
2008-06;   84.178
2008-07;   74.715
2008-08;   30.049
2008-09;   19.740
2008-10;   30.236
2008-11;   47.619
2008-12;  488.457
2009-01;  631.613
2009-02;  400.488
2009-03; 1045.718
2009-04;  303.849
2009-05;  123.647
2009-06;   78.543
2009-07;   67.911
2009-08;   25.867
2009-09;   20.462
2009-10;   11.885
2009-11;   54.852
2009-12;  248.233
2010-01;  296.085
2010-02;  625.567
2010-03;  541.205
2010-04;  118.191
2010-05;   68.436
2010-06;   47.381
2010-07;   39.416
2010-08;   27.899
2010-09;   15.993
2010-10;   18.026
2010-11;    6.426
2010-12;   63.911
