# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-04-16
#
# GRDC-No.:              3268900
# River:                 RIO BERMEJO
# Station:               EL COLORADO
# Country:               AR
# Latitude (DD):       -26.3
# Longitude (DD):      -59.38
# Latitude (MODEL):    -26.28125
# Longitude (MODEL):   -59.40625
# Catchment area (km²):      65736.0
# Altitude (m ASL):        78.0
# Next downstream station:      3265300
# Remarks:               
# Owner of original data: Argentina - Subsecretaría de Recursos Hídricos
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968-09 - 2020-08
# No. of years:          53
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01;  488.007
2001-02; 1460.489
2001-03; 1185.761
2001-04;  879.529
2001-05;  484.149
2001-06;  277.215
2001-07;  187.592
2001-08;  121.696
2001-09;   81.785
2001-10;   77.916
2001-11;  153.584
2001-12;  293.374
2002-01;  387.797
2002-02; 1239.708
2002-03; 1412.647
2002-04; 1095.183
2002-05;  415.227
2002-06;  236.116
2002-07;  160.563
2002-08;  118.969
2002-09;   72.567
2002-10;   60.635
2002-11;  128.285
2002-12;  239.989
2003-01;  747.969
2003-02;  828.959
2003-03; 1084.512
2003-04;  840.526
2003-05;  315.184
2003-06;  195.331
2003-07;  132.245
2003-08;   93.670
2003-09;   67.069
2003-10;   58.241
2003-11;   52.082
2003-12;  267.234
2004-01;  920.315
2004-02;  985.801
2004-03;  791.035
2004-04;  749.735
2004-05;  392.607
2004-06;  238.551
2004-07;  143.613
2004-08;   90.284
2004-09;   63.016
2004-10;   62.298
2004-11;   66.327
2004-12;  296.587
2005-01;  427.184
2005-02;  476.220
2005-03;  885.563
2005-04;  843.744
2005-05;  392.919
2005-06;  174.622
2005-07;  115.916
2005-08;   72.713
2005-09;   38.575
2005-10;   20.345
2005-11;   17.010
2005-12;  226.061
2006-01; 1058.235
2006-02; 1355.923
2006-03; 1053.574
2006-04; 1602.523
2006-05;  637.678
2006-06;  276.880
2006-07;  168.725
2006-08;  108.548
2006-09;   78.640
2006-10;   60.657
2006-11;  103.145
2006-12;  676.265
2007-01; 1258.421
2007-02; 1680.797
2007-03; 1690.267
2007-04; 1095.727
2007-05;  399.695
2007-06;  243.511
2007-07;  150.816
2007-08;  104.555
2007-09;   80.942
2007-10;   62.554
2007-11;   67.167
2007-12;  349.968
2008-01;  803.631
2008-02; 1330.381
2008-03; 1660.161
2008-04; 1632.930
2008-05;  493.321
2008-06;  231.900
2008-07;  176.792
2008-08;  113.243
2008-09;   81.392
2008-10;   58.120
2008-11;   64.841
2008-12;  369.445
2009-01; 1051.255
2009-02;  852.848
2009-03; 1059.067
2009-04;  823.446
2009-05;  369.139
2009-06;  229.905
2009-07;  153.031
2009-08;  106.324
2009-09;   61.495
2009-10;   43.382
2009-11;   75.316
2009-12;  698.981
2010-01; 1209.535
2010-02;  726.145
2010-03; 1318.807
2010-04;  454.104
2010-05;  273.889
2010-06;  181.346
2010-07;  134.715
2010-08;   95.378
2010-09;   71.072
2010-10;   49.921
2010-11;   31.863
2010-12;   20.821
