# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-08-16
#
# GRDC-No.:              3269300
# River:                 MIRINAY RIO
# Station:               PASO LEDESMA
# Country:               AR
# Latitude (DD):       -29.83
# Longitude (DD):      -57.68
# Latitude (MODEL):    -29.84375
# Longitude (MODEL):   -57.65625
# Catchment area (km²):      10056.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Argentina - Subsecretaría de Recursos Hídricos
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968-07 - 2021-01
# No. of years:          54
# Last update:           2022-10-17
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01;  454.231
2001-02;  466.521
2001-03;  125.355
2001-04;  358.078
2001-05;  429.511
2001-06;  121.875
2001-07;   64.638
2001-08;   22.101
2001-09;  124.166
2001-10;   94.242
2001-11;  111.446
2001-12;   17.414
2002-01;    3.415
2002-02;    3.634
2002-03;   86.226
2002-04;  772.507
2002-05;  390.436
2002-06;  142.168
2002-07;  271.149
2002-08;   97.661
2002-09;   97.358
2002-10;  502.095
2002-11;  319.571
2002-12;  728.014
2003-01;  420.360
2003-02;   77.578
2003-03;  460.360
2003-04;  323.632
2003-05;  362.074
2003-06;  165.147
2003-07;   26.301
2003-08;  104.328
2003-09;   10.265
2003-10;  103.568
2003-11;   69.683
2003-12;   83.055
2004-01;  139.096
2004-02;   13.191
2004-03;    4.340
2004-04;    5.879
2004-05;    4.132
2004-06;    5.337
2004-07;   12.511
2004-08;    4.865
2004-09;    2.815
2004-10;  103.834
2004-11;  274.863
2004-12;  109.310
2005-01;    0.656
2005-02;    0.000
2005-03;    0.000
2005-04;   52.790
2005-05;  317.884
2005-06;  245.060
2005-07;  170.582
2005-08;   12.842
2005-09;    2.850
2005-10;   42.733
2005-11;   10.000
2005-12;    3.314
2006-01;    0.000
2006-02;    0.000
2006-03;    0.000
2006-04;    0.000
2006-05;    1.591
2006-06;   65.888
2006-07;    3.497
2006-08;    0.000
2006-09;    0.000
2006-10;   36.983
2006-11;  165.208
2006-12;  120.784
2007-01;   60.726
2007-02;   14.436
2007-03;  518.975
2007-04;  143.993
2007-05;   79.683
2007-06;   38.399
2007-07;    0.000
2007-08;    2.359
2007-09;   38.059
2007-10;  324.821
2007-11;  293.231
2007-12;   40.715
2008-01;    2.835
2008-02;    4.292
2008-03;    4.210
2008-04;    0.000
2008-05;    3.939
2008-06;   40.524
2008-07;   16.436
2008-08;   90.797
2008-09;   22.898
2008-10;  211.237
2008-11;  164.689
2008-12;    0.013
2009-01;    0.000
2009-02;    0.000
2009-03;    0.000
2009-04;    0.000
2009-05;    0.000
2009-06;    0.000
2009-07;    0.000
2009-08;    0.000
2009-09;   18.926
2009-10;    0.000
2009-11;  702.776
2009-12;  620.030
2010-01;  295.380
2010-02;  131.889
2010-03;  104.941
2010-04;   23.693
2010-05;   72.302
2010-06;   88.493
2010-07;   79.054
2010-08;  136.845
2010-09;  146.870
2010-10;   38.000
2010-11;    0.000
2010-12;  126.189
