# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-04-16
#
# GRDC-No.:              3368100
# River:                 RIO PARAGUAI
# Station:               ASUNCION
# Country:               PY
# Latitude (DD):       -25.275981
# Longitude (DD):      -57.640602
# Latitude (MODEL):    -25.21875
# Longitude (MODEL):   -57.59375
# Catchment area (km²):      -999.0
# Altitude (m ASL):        63.0
# Next downstream station:      3265300
# Remarks:               
# Owner of original data: Dirección de Meteorología e Hidrología
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1931-01 - 2022-02
# No. of years:          92
# Last update:           2022-05-09
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01; 2353.716
2001-02; 2608.525
2001-03; 3300.107
2001-04; 2818.056
2001-05; 2881.997
2001-06; 2529.026
2001-07; 2385.359
2001-08; 2079.840
2001-09; 1761.075
2001-10; 1758.170
2001-11; 1984.551
2001-12; 2308.117
2002-01; 2207.663
2002-02; 2507.555
2002-03; 2852.233
2002-04; 2652.685
2002-05; 3205.782
2002-06; 3604.229
2002-07; 3320.835
2002-08; 3124.607
2002-09; 2699.553
2002-10; 1899.040
2002-11; 1676.594
2002-12; 2241.590
2003-01; 1828.066
2003-02; 2308.683
2003-03; 2987.015
2003-04; 2560.732
2003-05; 2502.143
2003-06; 2674.159
2003-07; 2812.660
2003-08; 2854.446
2003-09; 2902.295
2003-10; 2837.618
2003-11; 2310.846
2003-12; 3447.748
2004-01; 3148.018
2004-02; 1994.232
2004-03; 2025.131
2004-04; 2330.237
2004-05; 2860.346
2004-06; 3148.121
2004-07; 3855.174
2004-08; 3166.697
2004-09; 2473.321
2004-10; 1941.113
2004-11; 3097.848
2004-12; 3808.342
2005-01; 2649.158
2005-02; 2522.921
2005-03; 2238.113
2005-04; 2254.166
2005-05; 2365.155
2005-06; 2539.890
2005-07; 2414.568
2005-08; 1944.068
2005-09; 1570.832
2005-10; 1738.056
2005-11; 2674.429
2005-12; 3073.801
2006-01; 1980.944
2006-02; 1958.302
2006-03; 2216.578
2006-04; 2849.899
2006-05; 2637.013
2006-06; 2773.978
2006-07; 2881.780
2006-08; 2943.415
2006-09; 3005.062
2006-10; 3287.641
2006-11; 3585.811
2006-12; 2953.873
2007-01; 2886.466
2007-02; 3619.915
2007-03; 4058.449
2007-04; 3523.920
2007-05; 3733.737
2007-06; 3587.510
2007-07; 3136.708
2007-08; 2940.477
2007-09; 2447.766
2007-10; 1603.449
2007-11; 1602.989
2007-12; 1923.913
2008-01; 2712.983
2008-02; 3146.545
2008-03; 3508.304
2008-04; 3281.930
2008-05; 3230.464
2008-06; 3072.481
2008-07; 3027.002
2008-08; 3086.659
2008-09; 2907.758
2008-10; 2521.597
2008-11; 2465.343
2008-12; 1504.282
2009-01; 1482.638
2009-02; 1810.094
2009-03; 1773.722
2009-04; 1653.586
2009-05; 1797.470
2009-06; 2431.143
2009-07; 2838.525
2009-08; 2586.804
2009-09; 2154.155
2009-10; 1922.096
2009-11; 2012.140
2009-12; 2080.180
2010-01; 2777.337
2010-02; 2859.739
2010-03; 3324.854
2010-04; 3093.387
2010-05; 2888.325
2010-06; 3252.201
2010-07; 2912.182
2010-08; 2773.817
2010-09; 2229.272
2010-10; 2122.787
2010-11; 1837.978
2010-12; 1647.992
