# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-04-25
#
# GRDC-No.:              3664160
# River:                 RIO IGUAZU
# Station:               SALTO CATARATAS
# Country:               BR
# Latitude (DD):       -25.68306
# Longitude (DD):      -54.43306
# Latitude (MODEL):    -25.65625
# Longitude (MODEL):   -54.40625
# Catchment area (km²):      67317.0
# Altitude (m ASL):        152.0
# Next downstream station:      3265300
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1942-01 - 2019-12
# No. of years:          78
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM Date
#     Value   - estimated from daily data
#************************************************************
#
# Data lines: 240
# DATA
YYYY-MM; Value
2001-01; 1538.013
2001-02; 4248.725
2001-03; 2054.252
2001-04; 1992.282
2001-05; 1328.984
2001-06; 1299.813
2001-07; 1763.070
2001-08; 1741.595
2001-09; 1493.984
2001-10; 3172.916
2001-11; 1586.133
2001-12; 1404.651
2002-01; 1003.787
2002-02; 1555.039
2002-03; 1185.753
2002-04;  906.996
2002-05; 1860.713
2002-06; 1356.347
2002-07; 1193.363
2002-08;  918.556
2002-09; 1330.784
2002-10; 2359.389
2002-11; 2923.439
2002-12; 2722.240
2003-01; 1575.992
2003-02; 1618.070
2003-03; 1419.633
2003-04; 1222.527
2003-05; 1024.567
2003-06; 1220.176
2003-07;  952.750
2003-08;  930.632
2003-09;  946.062
2003-10; 1189.020
2003-11; 1219.858
2003-12; 1860.941
2004-01; 1501.331
2004-02; 1012.341
2004-03; 1120.934
2004-04;  962.105
2004-05; 1388.279
2004-06; 1006.113
2004-07; 2152.503
2004-08; 1646.584
2004-09; 1120.301
2004-10; 1772.750
2004-11; 3442.241
2004-12; 1668.253
2005-01; 1175.631
2005-02; 1141.682
2005-03;  971.866
2005-04;  483.279
2005-05; 1215.890
2005-06; 1817.237
2005-07; 1641.667
2005-08; 1331.523
2005-09; 3719.072
2005-10; 5915.832
2005-11; 2636.133
2005-12; 1129.871
2006-01;  937.436
2006-02;  983.769
2006-03;  940.034
2006-04;  791.098
2006-05;  719.983
2006-06;  527.942
2006-07;  317.802
2006-08;  199.092
2006-09;  533.531
2006-10;  913.701
2006-11;  791.280
2006-12;  993.158
2007-01;  848.314
2007-02;  961.452
2007-03;  833.443
2007-04; 2264.823
2007-05; 4374.121
2007-06; 2081.019
2007-07; 1395.387
2007-08; 1114.286
2007-09;  899.825
2007-10;  908.722
2007-11; 1564.699
2007-12; 1186.321
2008-01; 1367.928
2008-02; 1411.373
2008-03;  861.182
2008-04;  768.258
2008-05;  808.035
2008-06; 1503.935
2008-07; 1631.515
2008-08; 1666.511
2008-09; 1359.031
2008-10; 1924.748
2008-11; 2973.799
2008-12; 1206.779
2009-01; 1424.632
2009-02; 1079.749
2009-03;  750.240
2009-04;  459.904
2009-05;  507.693
2009-06;  678.431
2009-07; 1227.105
2009-08; 2330.511
2009-09; 3769.401
2009-10; 5268.527
2009-11; 2399.596
2009-12; -999.000
2010-01; 2386.401
2010-02; 1981.877
2010-03; 1977.300
2010-04; 4256.089
2010-05; 3897.154
2010-06; 1795.854
2010-07; 1607.965
2010-08; 1482.198
2010-09; 1237.949
2010-10; 1743.642
2010-11; 1535.555
2010-12; 2400.515
